Name,Page URL,Image URL,Bio,Instagram,Instagram Followers,TikTok,TikTok Followers
EVIE KEMP,https://www.liquorice.co.nz/talent/evie-kemp-design-diy-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/19e60260-327a-43f2-b831-9f92135cf48b/Evie_web2.jpg,"If, as Gauguin once said, colour is the language of dreams, then design influencer Evie Kemp must be the dreamweaver. Design and upcycling muse to many, Evie is our barometer of how to make life a bit more adventurous. Her home is her castle, and every single spot in it demonstrates her prowess with placement, texture and of course colour. Evie turns the head of brands and businesses who either already have a creative edge or want to inject it, whether that be showing how to customise an everyday product, illustrating limited edition packaging, designing textiles for hotels or turning her designs into wearable art. To book Evie or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/eviekemp/?hl=en,31k,,
FIONA WRIGHT,https://www.liquorice.co.nz/talent/fiona-goddard-beauty-fashion-home-renovation-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/1618875138559-9YVMRHEH76HNMTIVLH7P/FIONA%2BGODDARD%2BBEST%2BAUCKLAND%2BINFLUENCER%2BTALENT%2BAGENCY.jpg,"With a dewy canvas that belies a bursting makeup kit, this qualified hair and makeup artist to the cool girls and guys has now become the go-to for those wanting a high-low mix of recommendations in the beauty, décor, fashion, child-wrangling and foodie spaces. When she talks, we add to cart. To book Fiona or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/fionawright__/,14k,https://www.tiktok.com/@fionaclarewright,7k
FRANZ ROACHE-LIUAANA,https://www.liquorice.co.nz/talent/franz-roache-liuaana-gaming-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/1618875154640-IZ49TI9TQY6G3GANP1NV/FRANZ+ROACHE-LIUAANA+BEST+AUCKLAND+INFLUENCER+TALENT+AGENCY.png,"Whether behind the camera or giving the people what they want in front of it, creative and gaming influencer Franz can tell a story and spread a message through his connections and craft.  An accountant (who got onto investing well before we all cottoned on) turned content creator, you cannot put this anime fan cum Disney lover cum adventurer cum tech geek in a box…unless it’s in front of the latest PS5. It’s not often creativity mixes with charisma, so his public speaking, storytelling and content skills are certainly something you’ll also want to share on your sites. To book Franz or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/franz.liu/,13k,https://www.tiktok.com/@franz.liu?lang=en,4.4k
GREER PERENARA,https://www.liquorice.co.nz/talent/greer-perenara-eco-food-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/1634000206456-GUH682UPNBJRJUV0MGDR/Greer+Perenara_bw.jpg,"Eloquently and candidly sharing snippets of her life, ‘mum’ influencer Greer’s care for her community, her shared culture and her family is at her feed’s fore. Believing knowledge is power and always providing an inclusive space for others, she uses her platform and way with words to discuss and educate on topics of importance, journal musings on her life stage and - when she’s not child-wrangling - belt out a tune or plan her upcoming new build. To book Greer or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/greerperenara/,18.5k,,
HANA TAPIATA,https://www.liquorice.co.nz/talent/hana-tapiata-maori-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/71dd2b82-7ec6-45ca-8e51-c680f05e9ea4/LIVE+HEADSHOT.png,"Having built a highly engaged and two-way space to explore wellness, self-determination and mental health with Māori ancestral knowledge as the guide, the blueprint, the everything, is the crux of what Hana brings to your event. A seasoned speaker who has hosted the hugely popular ‘On the Flow’ podcast by AWWA as well as her own podcast The Whakapapa Effect, Hana has amassed considerable mana in living a life with purpose. Musings via her intimate online and 1-to-1 resources cover off a considered mindset that spans health and wellness, sustainability, sports, financial freedom and setting yourself up for success in the life you choose. HANA TAPIATA PODCAST HANA TAPIATA FACEBOOK",https://www.instagram.com/hanatapiata/,16.8k,https://www.tiktok.com/@hanatapiata?lang=en,8.9K
JANA MACPHERSON,https://www.liquorice.co.nz/jana-macpherson/the-macpherson-diaries/food/family/lifestyle-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/baec27b9-8b0c-407e-a28d-a3ddbe577d0a/Jana+headshot.jpg,"Sometimes life can be cruel but Jana MacPherson is showing up for her family and her future after losing her husband Hamish to cancer - and she has a community of cheerleaders right by her side. After years in hospo (including running their own successful restaurant) she’s all about sharing simple yet sensational food, starting a dinner club recipe subscription so that others can get in on her seriously mouthwatering selects from the comfort of their own kitchens. Beyond the kitchen, Jana is all about quick hacks and smart solutions. Whether it's finding ways to make the most of whatever you have left in the pantry after a busy week, sneaking veges into the kids’ favourite meals, or investing in quality items that stand the test of time, she's got a tip or trick for just about everything. THE MACPHERSON DIARIES IG To book Jana or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly.",https://www.instagram.com/the_macpherson_diaries/,35k,,
JANE JOO,https://www.liquorice.co.nz/jane-joo/beauty-fashion-tiktok-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/1964de9f-71f8-4962-aa3a-612f4baadf20/Jane+updated+headshot.png,"As a graduate engineer, Jane is dedicated to finding solutions that are both effective and sustainable, which pulls all the way through to her tips for stunning at-home haircare (because cool girls don’t gatekeep). To book Jane or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/imjanejoo/,88k,https://www.tiktok.com/@imjanejoo,221k
JAY-JAY FEENEY,https://www.liquorice.co.nz/jayjay-feeney-entertainment-celebrity-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/e8e53f5f-13f8-4745-bc92-64c61ed0859b/Jay-Jay_BW.jpg,"Those wanting to hit squarely with mainstream women in NZ (yes, it’s a large net!) need look no further than household name and lifestyle influencer Jay-Jay Feeney, who has had a career for 30 years being the real, generous and honest best friend to many on our top radio shows. From marrying strangers to spruiking star signs to sharing celebrity trivia, hundreds of thousands of Kiwis look to Jay-Jay for an unfiltered and real-world fix on what to do, shop, buy and where to adventure. Whether it’s a crisp Pinot Gris or gin tip, sensitive skin go-to or foodie find, when she talks, the country has no choice but to listen! JAY-JAY FEENEY FACEBOOK To book Jay-Jay or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/jjfeeneynz/,96k,https://www.tiktok.com/@jjfeeneynz?lang=en,7.7k
KATMA,https://www.liquorice.co.nz/talent/katma-comedy-lifestyle-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/156e9403-c586-46f1-a0b9-f4f94c562642/Katma+head+shot.png,"From quarter-life chaos to quiet wins, Katma’s unfiltered chronicles of figuring it out as she goes have found their people - thousands of Kiwis in the same boat, paddling alongside her. Not having a nicheisher niche, whether she’s dissecting her latest hyper-fixation meal or unpacking the lifelong lesson of learning to love herself more. Equal parts mental health advocate, gym gal and goofy best friend, her content is a mix of thoughts-of-the-day, high, low and mid-tier moments. The mission? To leave the world (and your feed) a little lighter than she found it. To book Katma or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly.",https://www.instagram.com/itskatma/,71.5k,https://www.tiktok.com/@itskatma?lang=en,125k
JESS MOLINA,https://www.liquorice.co.nz/talent/jess-molina-beauty-fashion-diversity-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/1621993322719-OQ97T8AA0KSRNQ1Z0IKK/JESS+MOLINA+TALENT+MANAGEMENT+INFLUENCER+MANAGER+BEST+AGENCY+IN+AUCKLAND.jpg,"Care and custodianship is what lifestyle influencer Jess is known for, creating the most stunning content and messaging for things that meet her care-factor. First and foremost a writer and performer, her love of the arts, film, fashion, food, drinks, beauty and s^&t we should all care about, her work has been picked up and reshared by the cool kids setting the tone internationally. And when they talk, brands listen.  If your strategy is to influence the influencers and you want words to match your brand vision, Jess will do like-minded campaigns the justice that they deserve. To book Jess or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/jessmolina/,10.8k,https://www.tiktok.com/@thejessmolina?lang=en,
LIV MARTIN,https://www.liquorice.co.nz/liv-martin/dance-teacher/family/fashion/lifestyle-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/c855b932-cc4b-4256-84c9-cdfcedcd0d0b/LIQ+-+WEB+HEADSHOTS+%2843%29.png,"Online and against this background, she shares her energetic take on life, connecting with people of all ages through a quirky humour and relatable musings that spans debating rugby stats to decoding the latest pop makeup look. With every DITL refreshingly different from the next, whether it’s a pep talk, a dance-off, a dinosaur dress-up or a Friday funny, she’s all about empowering the next generation to be unapologetically themselves. To book Liv or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/liiiv.martin/,27.7k,https://www.tiktok.com/@livmartin98,176.6k
KASIA STANICICH,https://www.liquorice.co.nz/talent/kasia-stanicich-beauty-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/1631496116782-1VNVANYA8J3D3K1OVQ3D/Temp+-+kas.jpg,"Whether she’s sussing skincare, curating capsule wardrobes or calling out the best buys for your home or castle, beauty influencer Kasia has the 411. Motivated, financially savvy (a homeowner before 25) and the boss of a makeup artistry business, brains and beauty did not bypass this Christchurch-based creative. A homebody at heart, beyond the beauty tutorials that clock viewers in the tens of thousands, you’re just as likely to find her in her designer dungarees assembling flat pack, DIYing a storage hack or putting together an epic prosciutto-heavy platter for her friends. To book Kasia or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/kasiaastanicich/,31.8k,https://www.tiktok.com/@kasiaastanicich?lang=en,59k
LOU HELLER,https://www.liquorice.co.nz/talent/lou-heller-fashion-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/3ee67e04-0dfc-40c2-83d7-d6e6702a086a/LIQ+-+WEB+HEADSHOTS+%2841%29.png,"Style shouldn’t discriminate, so real talking fashion influencer Lou has tasked herself with giving Kiwis the knowledge around the right wardrobe foundations, plus unlocking the confidence that comes with walking your walk. Christchurch based and with an army tuning in to understand her take on how to transform your outlook through confident and decisive dressing, her skills focus on empowerment and understanding rather than ‘buying more stuff’. It’s this non-commercial approach that makes Lou commercial, as her recommendations are always genuine and her advice straight-forward and functional, whether it’s holding court at her regular panels, helping shoppers DIY their wardrobe via her downloadable dressing modules, or through her genius shares on social. To book Lou or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/louhellerstylist/,20k,,
LOUISA MORLEY,https://www.liquorice.co.nz/louisa-morley/beauty/fashion/food/family/lifestyle-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/6cd917e1-c6d9-47f7-9df2-63d31348f241/WEBSITE+SHOT.png,"One of the OGs of the scene, mum of four Lou has gone through a few iterations on the internet, which makes her all the more relatable as we bumble along our own journeys. Lou is that friend that would give the shirt off her back to help someone who needs it, while doing the research for all of us on where to go, what to do, and what’s worth our money on the daily. To book Louisa or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/louisamorley_,44.7k,,
MARY OUTRAM,https://www.liquorice.co.nz/talent/mary-outram-fashion-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/3f168245-8249-4b1b-84ba-c42e42a7ffc5/Mary+Outram+Edited-42+B%26WA_web.jpg,"Gifted with the gab and the genes, Mary Outram is a fashion-forward force with an infectious and inclusive eye for what looks good, what works together and where and why to use colour. But first and foremost, she is founder of BONNIE, a New Zealand-made, skin-first beauty brand, with a colour palette of baby blue and yellow instantly recognisable to Gen Z and Millennial cosmetic connoisseurs. Mary brings a unique dual perspective as both influencer and brand founder, creating high-performing content that resonates deeply with audiences and drives results. To book Mary or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/mary_oh_/,19.5k,https://www.tiktok.com/@mary_oh_?lang=en,3.1k
MICAH HEATH,https://www.liquorice.co.nz/micah-heath/diy/music/lifestyle-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/3ec21d41-69c8-4bda-8b99-2c1ebcf9f90f/Micah+head+shot.png,"Food, thrifted ‘fits and his first home facelift are just some of the edits you’ll find on musician Micah’s feed. The all-round good guy is a strong advocate for the rainbow community and connecting to Māori kaupapa, setting a stellar example for those navigating their formative years. From organising his pantry staples to detailed day-by-day travel itineraries packing in all the sights, Micah is a man with a plan who aims to inform other people on his hacks that help you get ahead in life. A goal setter who presents a realistic, engaging and affordable way of life, he’s currently clocking a personal music project while DIYing his dream home. To book Micah or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/3icah/,16.8k,https://www.tiktok.com/@micahheath,28.4k
MILA REUELU-BUCHANAN,https://www.liquorice.co.nz/mila-reuelu-buchanan/fitness-beauty-fashion-lifestyle-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/ecd21ecf-e03b-43d6-bf9e-d8c5ac39e02b/Mila+Reuelu+Buchanan+B%26W.jpg,"Mila made her childhood dream a reality joining the Silver Ferns squad and realising years of living up to personal values that put respect, hard work, communication and commitment at the fore of everything. With a proud multicultural spirit and strong social conscience she puts into practice at her various off-court endeavours, and splits her time between Wellington and Auckland, pampering her two English bulldogs, keeping fit and shopping (sorry savings plan). As slick on court as she is busting a move, she remains effortlessly cool and relatable thanks to her self-deprecating skits that show a silly side and bring us all the lols. To book Mila or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/milakaiariki/,11k,https://www.tiktok.com/@milareuelubuchana,4.9k
NAT PUA,https://www.liquorice.co.nz/natpicking-tiktok-music-lifestyle-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/1dabd013-b5cb-4ea1-8717-969559f82ab0/1.png,"He’s just a dad learning how to cook! To book Nat or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/natcooking_/,107k,https://www.tiktok.com/@natcooking6,58.3k
PARRIS MASON,https://www.liquorice.co.nz/parris-mason/sports-tiktok-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/1d0e3124-0ac4-4f2f-9f39-99ca53277ac0/option+1.png,"Alongside the go go go repping for Central Pulse and women’s Tall Ferns, this over-achiever’s peaks and troughs to date have taught her to protect her mental health and keep up other interests which include cooking, reading, partying and (believe it or not) studying maths! A healthy appetite underpins Parris’ stamina on court, with the athlete keeping clean 80 per cent of the time coupled with the requisite late night drives for snacks with her BFF ‘baller flatties. To book Parris or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/parris.mason/,7k,https://www.tiktok.com/@parris.mason,16.6k
Unknown,https://www.liquorice.co.nz/yo-its-mrs-marshall/teacher/diy/lifestyle-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/255fd074-0e05-4450-a358-2c64ccfc3729/56.png,"With her razor-sharp wit, willing students and infectious energy, Mrs Marshall is turning education on its head whether it be epic science experiments, mind-blowing math tricks or te reo mahi tahi. Covertly dropping serious knowledge bombs via hilarious skits, hot takes and dance-offs, her unique blend of sass and smarts has made her a favourite among students and scholars wanting the go on all the best bits and pieces for the school semester. To book Mrs Marshall or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/teachwithmrsmarshall/,3.5k,https://www.tiktok.com/@yo_its_mrs.marshall,70.3k
SOPHIE STEPHENS,https://www.liquorice.co.nz/sophie-stephens/food-beauty-fashion-lifestyle/influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/aa170896-45f8-480b-aa82-c003847c92a0/92+%281%29.png,"Originally from the UK, Sophie’s search for like-minds and good chat found her an audience both on and offline when she started Girls Eat + Meet, a regular event series where women swap stories on everything from money to makeup to mindfulness! Mixing the high and the lowbrow, her Soph Eat's Out ‘gram gives a glimpse into her many varied interests - where mental health, wellness, food, fitness, beauty, and fun times all exist under the one roof. From shoutouts at ‘Diary of a CEO’ Steven Bartlett’s Auckland live show to hacking Amex airpoints dollars all the way through to dating dramas, Sophie covers relatable quests that above all else uplift and encourage a clued-up community of women figuring it out as we go along. To book Sophie or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/sopheatsout/,39k,https://www.tiktok.com/@sopheatsout,54k
TIMPROVISE,https://www.liquorice.co.nz/talent/tim-dennis-comedy-entertainment-gaming-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/e0a11032-0e5a-473d-bd9d-73ada5c25c7e/LIQ+-+WEB+HEADSHOTS+%2821%29.png,"Sports and comedy influencer TimProvise has the gift of the gab that saw him take out a NZ podcast awards gong for Best Maori & Pasifika Podcast. The self-appointed “King of Zoom”, Tim is full of hacks for all things tech geared, has a knack for piecing snackable content and on the whole, has an infectiously positive personality. From John Campbell to Joseph Parker, his ability to totally geek out on guests goes far beyond Google, and he unearths trivia and talking points that trigger conversations, memories and musings where everyone (host, guest, listener) thinks and learns as a result. To book Tim or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/timprovise/,23.4k,https://www.tiktok.com/@bakeryruns,28k
LEEANN YARE,https://www.liquorice.co.nz/talent/leeann-yare-food-interiors-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/3b6fefa7-af6f-41e4-bcf3-20180eaabfaa/Headshot+1_BW.jpg,"Pilot, interiors expert, foodie, author and mother to two sports fanatics, there doesn’t seem to be a hobby, task or career path that food influencer LeeAnn can’t conquer. Having recently shown a road to health through her everyday recipes, food swaps and summit ascents, her real-talking take on the best in categories across fashion, food, styling, travel and technology comes from tireless trial and error on our behalf. Mixing everyday products with investment pieces and (when she takes back to the skies later this year) travel inspiration, LeeAnn offers workable tips and an honest account of juggling a genuinely busy lifestyle. To book LeeAnn or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/leeannyare/,23k,,
